nghd,lat,lon
Thornburg Borough,40.43452500000004,-80.08390833333334
Port Vue Borough,40.337062305296,-79.87200623052954
Braddock Hills Borough,40.41801544401553,-79.86293050193036
Arlington,40.414417322834744,-79.96785826771652
Whitehall Borough,40.36022722283223,-79.98980351262348
Aleppo Township,40.53292164948458,-80.14331134020625
Baldwin Township,40.380269503546074,-80.01443262411345
Wilkins Township,40.42641699867204,-79.82310225763602
Lincoln-Lemington-Belmar,40.476230460922,-79.89689579158308
Glen Osborne Borough,40.53083870967747,-80.16794838709679
Swisshelm Park,40.42136363636366,-79.9049621212121
Avalon Borough,40.5010376344086,-80.06808064516129
East Pittsburgh Borough,40.396798076923076,-79.83822115384616
Mount Lebanon,40.37522056186448,-80.04944351464434
Homestead Borough,40.40731460674154,-79.90976404494383
St. Clair,40.40878571428569,-79.97223809523808
Oakdale Borough,40.400140624999985,-80.18721874999994
Neville Township,40.50637343749972,-80.111565625
Ben Avon Borough,40.50574803149607,-80.08148818897638
Brookline,40.396542105263,-80.01252280701758
West Oakland,40.44024137931037,-79.96586206896549
Sewickley Borough,40.53992452830183,-80.17931446540886
Fairywood,40.45063257575765,-80.08474621212116
Bridgeville Borough,40.35782999999994,-80.10621000000005
Ridgemont,40.42691919191916,-80.0343838383838
Carrick,40.39486334056389,-79.98607158351415
Pennsbury Village Borough,40.42826315789472,-80.1012105263158
Spring Garden,40.468538461538465,-79.98929487179485
Edgewood Borough,40.43126666666669,-79.88401212121214
Pine Township,40.62743324125201,-80.03088489871092
Clairton,40.29750973236003,-79.88541119221401
Glen Hazel,40.40595967741935,-79.93058064516133
Green Tree Borough,40.41706491228045,-80.05432982456131
Crafton Heights,40.44494711538459,-80.0526586538462
South Shore,40.436333333333344,-80.01064912280702
Springdale Township,40.55621276595744,-79.80497872340425
Bethel Park Borough,40.323861811391474,-80.03642857142874
North Fayette Township,40.426487448919936,-80.18538178633976
Shadyside,40.45347430830049,-79.93222529644265
Allegheny West,40.45086486486487,-80.01456756756757
North Oakland,40.44826086956521,-79.9536159420289
Sheraden,40.45537860082302,-80.05682304526752
Ohio Township,40.54243280423289,-80.09251111111112
Homewood West,40.45940000000002,-79.9039636363636
South Versailles Township,40.29916883116883,-79.80276623376623
Bloomfield,40.460373056994854,-79.94627461139892
Blawnox Borough,40.49216101694919,-79.85975423728812
Beechview,40.41256783919606,-80.02457286432166
Dravosburg Borough,40.35083333333327,-79.89065986394557
Chartiers City,40.45783333333335,-80.07074999999999
Manchester,40.45543999999995,-80.02509333333333
Harmar Township,40.54702177650445,-79.83859885386823
Westwood,40.43293193717279,-80.04848167539274
Perry North,40.48599401197609,-80.01769461077846
Rosslyn Farms Borough,40.42234615384616,-80.0886346153846
McKeesport,40.34186461126029,-79.84411260053625
North Shore,40.44820238095242,-80.00634523809524
Whitaker Borough,40.40062921348314,-79.88646067415729
Heidelberg Borough,40.39154430379746,-80.09225316455696
Allentown,40.42303797468356,-79.99393670886077
Knoxville,40.413674698795205,-79.99302409638553
Perry South,40.468316,-80.01423599999994
Sharpsburg Borough,40.494090909090936,-79.92492045454547
Elizabeth Township,40.27240948871496,-79.83283394748955
Forest Hills Borough,40.42508525345631,-79.85450460829487
South Park Township,40.298835995325256,-79.99446474483831
Leetsdale Borough,40.56179999999999,-80.1996
Churchill Borough,40.438906666666696,-79.84167500000004
Franklin Park Borough,40.59035379254863,-80.09989171803794
Pittsburgh,40.44904428044297,-79.9810922509225
North Braddock Borough,40.402272093023306,-79.8533325581397
Duquesne Heights,40.43540476190477,-80.02473214285722
Robinson Township,40.45781081081112,-80.13336391654786
Homewood South,40.453348623853245,-79.8928256880734
West Mifflin Borough,40.35806952811229,-79.90732354417662
Monroeville,40.413754587156035,-79.8055665137616
Central Oakland,40.43864556962026,-79.95454430379745
Braddock Borough,40.40175555555557,-79.86895000000001
California-Kirkbride,40.459819672131175,-80.02163934426227
West View Borough,40.5182599277979,-80.0331949458484
Highland Park,40.47764465408811,-79.91713836477993
Hays,40.392253638253486,-79.94702910602919
Kennedy Township,40.47673591087821,-80.10283355176932
West Elizabeth Borough,40.2721044776119,-79.89541791044776
Etna Borough,40.497565022421476,-79.94743497757847
Leet Township,40.57043356643358,-80.19576923076926
Brighton Heights,40.48337987012982,-80.03696103896102
Mount Washington,40.42670440251579,-80.0106761006288
Chateau,40.452603773584926,-80.02749056603774
Friendship,40.46089655172412,-79.93437931034482
Strip District,40.45376190476196,-79.98111309523809
Versailles Borough,40.31778911564626,-79.83097959183675
Duquesne,40.37326220614838,-79.850211573237
Esplen,40.46094029850749,-80.05455223880594
North Versailles Township,40.37937253469704,-79.82320160701252
Central Lawrenceville,40.47289393939402,-79.95370454545446
Point Breeze,40.44579927007302,-79.90756204379569
Collier Township,40.39914041644421,-80.13203550453817
Rankin Borough,40.41090140845063,-79.88123943661975
Elizabeth Borough,40.271526315789494,-79.88730701754386
Arlington Heights,40.41647222222222,-79.9611388888889
Summer Hill,40.49194214876032,-80.0081570247934
Coraopolis Borough,40.51479404466501,-80.16262779156327
Upper St. Clair Township,40.333595025983435,-80.08418374164799
Marshall Township,40.62755191873568,-80.11138882618512
Central Northside,40.45704225352114,-80.01101408450704
Northview Heights,40.47768604651166,-80.00244186046513
Banksville,40.41036194029843,-80.03925746268652
Stanton Heights,40.48156872037916,-79.93692890995264
Lincoln Borough,40.29946433769993,-79.85545560407571
Verona Borough,40.50492727272725,-79.84186666666663
Aspinwall Borough,40.492908256880725,-79.90363302752294
East McKeesport Borough,40.384690909090956,-79.80774545454543
Emsworth Borough,40.511165775401075,-80.09658288770049
West Homestead Borough,40.39772563176898,-79.91848375451268
East Allegheny,40.45540624999999,-79.99767187500001
Brentwood Borough,40.37333670886079,-79.97580759493677
McKees Rocks Borough,40.46861794019928,-80.06320930232555
Ingram Borough,40.444825000000044,-80.06850833333334
Crawford-Roberts,40.44270422535213,-79.9839295774648
Homewood North,40.459127118644055,-79.89012711864409
Carnegie Borough,40.40794808126421,-80.08590293453727
Bradford Woods Borough,40.63617857142856,-80.08100892857139
Windgap,40.45615789473681,-80.07526315789467
Moon Township,40.49343569731935,-80.17963115032236
South Fayette Township,40.35428820960712,-80.15666117506944
East Carnegie,40.420157894736796,-80.07442105263159
Kilbuck Township,40.520337078651814,-80.09841292134837
Haysville Borough,40.52715151515154,-80.15633333333334
Chalfant Borough,40.410000000000004,-79.83864285714286
New Homestead,40.38788127853886,-79.92256621004574
Oakmont Borough,40.51995482546193,-79.83652566735122
Fineview,40.46274647887325,-80.00416901408452
Findlay Township,40.4591287128713,-80.19663366336631
Hampton Township,40.58439349775785,-79.95344147982053
Indiana Township,40.57299999999991,-79.87375748194027
Jefferson Hills Borough,40.29261355710535,-79.93289930252837
Stowe Township,40.482800940439056,-80.07317398119127
Penn Hills Township,40.47614836931544,-79.83309324758834
Bell Acres Borough,40.58992877094965,-80.17313896648038
Crafton Borough,40.43323225806456,-80.07125483870968
Mount Oliver Borough,40.41132258064519,-79.98551612903228
Squirrel Hill South,40.43014709851592,-79.92258839406213
White Oak Borough,40.34266806722691,-79.81184978991595
Greenfield,40.42436320754718,-79.93785377358488
Fox Chapel Borough,40.524609935602285,-79.8897033118676
Marshall-Shadeland,40.46945639534886,-80.03420639534895
Pleasant Hills Borough,40.32982830930486,-79.95967889908258
Wall Borough,40.39255555555556,-79.80177777777777
Frazer Township,40.60434159779616,-79.80647291092747
Dormont Borough,40.39408612440193,-80.03766985645932
Bedford Dwellings,40.451119999999996,-79.97427999999998
Terrace Village,40.443326086956525,-79.96964130434785
Outside Allegheny,40.31461388888846,-80.10603396990777
Beltzhoover,40.416432432432444,-80.00354054054053
Upper Lawrenceville,40.48295370370371,-79.94996296296301
Baldwin Borough,40.3690372439477,-79.96689261328386
Oakwood,40.42685915492954,-80.06594366197184
Troy Hill,40.462886178861815,-79.98295121951217
Bon Air,40.407761363636325,-80.00106818181818
Central Business District,40.4407752808989,-79.99853370786515
Squirrel Hill North,40.44363444108767,-79.92960422960716
Lincoln Place,40.37138202247199,-79.91393258426979
Munhall Borough,40.39348205928226,-79.9004851794071
Ben Avon Heights Borough,40.5124545454545,-80.07305454545453
South Side Flats,40.42678544061313,-79.97430651340994
Overbrook,40.38343478260865,-79.99707826086944
Hazelwood,40.41238106235567,-79.9410692840647
Elliott,40.44442261904765,-80.03864880952382
Scott Township,40.3875009363295,-80.07914794007485
Wilkinsburg Borough,40.444189233278934,-79.87334094616637
Sewickley Heights Borough,40.559555940593945,-80.1527792079208
Shaler Township,40.52290052185262,-79.96325472928888
Sewickley Hills Borough,40.56815912408761,-80.1271562043795
Wilmerding Borough,40.394217391304345,-79.8101913043478
Upper Hill,40.45314942528737,-79.95979310344829
Glenfield Borough,40.52072262773708,-80.13354744525547
Spring Hill-City View,40.46725142857138,-79.99522857142858
East Hills,40.45395394736845,-79.87530921052632
Millvale Borough,40.48174468085107,-79.9736223404255
West End,40.436824561403505,-80.032649122807
Bluff,40.43626086956519,-79.98493478260869
Polish Hill,40.45759701492539,-79.96637313432835
Mt. Oliver,40.41086666666668,-79.97936666666668
Edgeworth Borough,40.55472167487692,-80.1905443349754
Castle Shannon Borough,40.36652173913046,-80.0192974828375
Glassport Borough,40.326137295081935,-79.88625000000003
Allegheny Center,40.45271666666665,-80.00680000000001
Morningside,40.483757281553366,-79.92727184466018
O Hara Township,40.50923689416419,-79.89499406528178
McCandless Township,40.58344439598793,-80.02823092019186
West Deer Township,40.619597600171474,-79.86834411827726
Lower Lawrenceville,40.464733333333335,-79.96435833333337
Regent Square,40.43269811320753,-79.89745283018871
Swissvale Borough,40.4205438596492,-79.8858625730995
South Oakland,40.4329927536232,-79.95947826086952
Cheswick Borough,40.54325531914888,-79.80338297872339
East Liberty,40.464592592592574,-79.92450617283953
Forward Township,40.25179849137946,-79.89660129310343
Richland Township,40.628289345592115,-79.95718117901569
Turtle Creek Borough,40.4085315985131,-79.82156505576197
Reserve Township,40.48518538324404,-79.98874688057039
Ross Township,40.52547036570019,-80.02431097099621
Middle Hill,40.447686046511656,-79.97296511627906
Point Breeze North,40.45171250000003,-79.9021125
Bellevue Borough,40.49455663430423,-80.05517152103579
Garfield,40.46822656249992,-79.93792187499999
Plum Borough,40.5272810810811,-79.81297657657657
Larimer,40.46238016528927,-79.91207438016528
South Side Slopes,40.42172139303476,-79.97752736318407
Liberty Borough,40.32428606965169,-79.8591293532338
